Dataset,Filename,id_in_dataset,relative_path,real/sim,id
Aachen Impulse Response Dataset,air_meeting_0_0_1.wav,,,real,3
Aachen Impulse Response Dataset,air_office_0_1_2.wav,,,real,4
Aachen Impulse Response Dataset,air_meeting_1_0_5.wav,,,real,5
Aachen Impulse Response Dataset,air_phone_office1_hfrp_1_2.wav,,,real,6
Aachen Impulse Response Dataset,air_meeting_0_0_2.wav,,,real,7
Aachen Impulse Response Dataset,air_phone_office1_hhp_3_2.wav,,,real,8
Aachen Impulse Response Dataset,air_phone_office1_hfrp_3_1.wav,,,real,9
Aachen Impulse Response Dataset,air_meeting_1_0_1.wav,,,real,10
Aachen Impulse Response Dataset,air_office_0_0_2.wav,,,real,11
Aachen Impulse Response Dataset,air_phone_office1_hfrp_3_2.wav,,,real,12
Aachen Impulse Response Dataset,air_office_0_1_1.wav,,,real,13
Aachen Impulse Response Dataset,air_meeting_1_1_1.wav,,,real,14
Aachen Impulse Response Dataset,air_office_1_0_3.wav,,,real,15
Aachen Impulse Response Dataset,air_phone_office1_hhp_1_2.wav,,,real,16
Aachen Impulse Response Dataset,air_meeting_1_1_3.wav,,,real,17
Aachen Impulse Response Dataset,air_phone_office1_hhp_2_2.wav,,,real,18
Aachen Impulse Response Dataset,air_office_1_0_1.wav,,,real,19
Aachen Impulse Response Dataset,air_phone_office1_hfrp_1_1.wav,,,real,20
Aachen Impulse Response Dataset,air_office_0_0_3.wav,,,real,21
Aachen Impulse Response Dataset,air_meeting_0_0_3.wav,,,real,22
Aachen Impulse Response Dataset,air_phone_office1_hfrp_2_2.wav,,,real,23
Aachen Impulse Response Dataset,air_meeting_1_0_4.wav,,,real,24
Aachen Impulse Response Dataset,air_meeting_0_1_2.wav,,,real,25
Aachen Impulse Response Dataset,air_office_1_1_3.wav,,,real,26
Aachen Impulse Response Dataset,air_office_1_1_1.wav,,,real,27
Aachen Impulse Response Dataset,air_meeting_0_1_3.wav,,,real,28
Aachen Impulse Response Dataset,air_meeting_0_1_5.wav,,,real,29
